start (index),end (index)
86,310
202,413
310,514
413,617
514,726
623,843
732,939
843,1059
944,1177
1059,1298
1177,1405
1298,1509
1405,1618
1509,1728
1618,1840
1728,1943
1840,2044
1943,2151
2044,2256
2151,2344
2256,2463
2353,2566
2463,2668
2566,2771
2668,2876
2771,2977
2876,3075
2977,3170
3075,3272
3170,3371
3272,3474
3371,3575
3474,3681
3575,3780
3681,3881
3780,3982
3881,4083
3982,4184
4083,4279
4184,4380
4279,4482
4380,4583
4482,4686
4583,4788
4686,4889
4788,4995
4889,5098
4995,5200
5098,5301
5200,5402
5301,5503
5402,5604
5503,5703
5604,5804
5703,5905
5804,6009
5905,6128
6009,6245
6128,6342
6245,6440
6342,6540
6440,6642
6540,6750
6642,6853
6750,6961
6853,7065
6961,7181
7067,7297
7181,7411
7297,7529
7411,7647
7529,7767
7647,7887
7767,8010
7887,8126
8010,8250
8131,8376
8257,8497
8376,8627
8497,8754
8627,8883
8754,9017
